id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e970512e-8fd1-11eb-924d-9cd76263cbd0,genus,Rabiea,,,N.E.Br.,,"Gard. Chron., ser. 3 88: 279. 1930.",,,,,16323-1,wfo-4000032426,3707751,
139d5aaa-8fcd-11eb-924d-9cd76263cbd0,species,albinota,Rabiea,,"(Haw.) N.E.Br.",,"Gard. Chron. III, 89: 53 1931",,,,,364138-1,wfo-0000733669,3707772,
139d906a-8fcd-11eb-924d-9cd76263cbd0,species,albipuncta,Rabiea,,"(Haw.) N.E.Br.",,"Gard. Chron. III, 89: 54 1931",,,,,364139-1,wfo-0000733671,3707781,
139dadb6-8fcd-11eb-924d-9cd76263cbd0,variety,major,Rabiea,albipuncta,L.Bolus,,,,,,,,wfo-0000733672,11109132,
139dcb3e-8fcd-11eb-924d-9cd76263cbd0,species,carolinensis,Rabiea,,"(L.Bolus) N.E.Br.",,"Gard. Chron. III, 89: 53 1931",,,,,364140-1,wfo-0000733673,7702762,
139de88a-8fcd-11eb-924d-9cd76263cbd0,species,cibdela,Rabiea,,"(N.E.Br.) N.E.Br.",,"Gard. Chron. III, 89: 54 1931",,,,,364141-1,wfo-0000733674,7843322,
139e050e-8fcd-11eb-924d-9cd76263cbd0,species,comptonii,Rabiea,,"(L.Bolus) L.Bolus",,"Notes Mesembryanthemum 3: 134 1938",,,,,364142-1,wfo-0000733675,3707804,
139e2250-8fcd-11eb-924d-9cd76263cbd0,species,difformis,Rabiea,,"(L.Bolus) L.Bolus",,"Notes Mesembryanthemum 3: 134 1938",,,,,364143-1,wfo-0000733676,3707811,
139e3cd6-8fcd-11eb-924d-9cd76263cbd0,species,jamesii,Rabiea,,"(L.Bolus) L.Bolus",,"Notes Mesembryanthemum 3: 134 1938",,,,,364144-1,wfo-0000733677,3707819,
139e5720-8fcd-11eb-924d-9cd76263cbd0,species,lesliei,Rabiea,,N.E.Br.,,"Gard. Chron. III, 89: 54 1931",,,,,364145-1,wfo-0000733678,7898306,
139e9208-8fcd-11eb-924d-9cd76263cbd0,species,tersa,Rabiea,,N.E.Br.,,"Gard. Chron. III, 89: 54 1931",,,,,364146-1,wfo-0000733680,8143595,
