id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e05c80ee-8fd1-11eb-924d-9cd76263cbd0,genus,Bornmuellera,,,Hausskn.,1897,"Mitth. Thu%ring. Bot. Vereins ser. 2. 11: 71. 1897.",,,,,12364-1,wfo-4000005033,3047115,
b3cda29c-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Bornmuellera,,"(Hausskn. ex Bornm.) Cullen & T.R.Dudley",1965,"Feddes Repert. 71: 228 1965",,,,,279174-1,wfo-0000569039,3047123,
b3cdc27c-8fcc-11eb-924d-9cd76263cbd0,species,baldaccii,Bornmuellera,,"(Degen) Heywood",1964,"Feddes Repert. Spec. Nov. Regni Veg. 69: 61 1964",,,,,279175-1,wfo-0000569040,3047116,
b3ce0ee4-8fcc-11eb-924d-9cd76263cbd0,subspecies,markgrafii,Bornmuellera,baldaccii,"(J.H.Schulz ex Markgr.) T.R.Dudley",1983,"Taxon 32: 187 1983",,,,14a0365c-8fcd-11eb-924d-9cd76263cbd0,921841-1,wfo-0000569041,3047119,
b3ce9fbc-8fcc-11eb-924d-9cd76263cbd0,species,cappadocica,Bornmuellera,,"(Willd.) Cullen & T.R.Dudley",1965,"Feddes Repert. 71: 228 1965",,,,,279176-1,wfo-0000569042,3047128,
b3cfafe2-8fcc-11eb-924d-9cd76263cbd0,species,dieckii,Bornmuellera,,Degen,1900,"Oesterr. Bot. Z. 50: 313 1900",,,,,279177-1,wfo-0000569043,3047121,
b3cfd576-8fcc-11eb-924d-9cd76263cbd0,species,glabrescens,Bornmuellera,,"(Boiss. & Balansa) Cullen & T.R.Dudley",1965,"Feddes Repert. 71: 228 1965",,,,,279178-1,wfo-0000569044,3047134,
b3d072ec-8fcc-11eb-924d-9cd76263cbd0,species,kiyakii,Bornmuellera,,"Aytaç & A.Aksoy",2000,"Bot. J. Linn. Soc. 134: 487 2000",,,,,1017294-1,wfo-0000569045,3047133,
b3d0b3ec-8fcc-11eb-924d-9cd76263cbd0,species,petri,Bornmuellera,,"Greuter., Charpin & Dittrich",1975,"Candollea 30: 17 1975",,,,,279179-1,wfo-0000569046,3693316,
b3d47540-8fcc-11eb-924d-9cd76263cbd0,species,tymphaea,Bornmuellera,,"(Hausskn.) Hausskn.",1897,"Mitth. Thüring. Bot. Vereins n.f., 11: 72 1897",,,,,279180-1,wfo-0000569047,3047125,
